Ticker,Year,Market_Capitalization,Total_Debt,Cash_Equivalents,Enterprise_Value
ADP,2024,121250101796.7224,5982600000.0,2913400000.0,124319301796.7224
FI,2020,,671000000.0,,
FI,2021,,892000000.0,835000000.0,
FI,2022,,976000000.0,902000000.0,
FI,2023,,1223000000.0,1204000000.0,
FI,2024,,1865000000.0,1236000000.0,
AMAT,2020,76695054059.70982,10161000000.0,5351000000.0,81505054059.70982
AMAT,2021,133638425537.10938,10900000000.0,4995000000.0,139543425537.10938
AMAT,2022,88359098744.71028,10909000000.0,1995000000.0,97273098744.71028
AMAT,2023,130182780806.35072,10918000000.0,6132000000.0,134968780806.35071
AMAT,2024,140272349996.56677,10921000000.0,8022000000.0,143171349996.56677
PANW,2020,5285376864.1153965,,2958000000.0,
PANW,2021,8667725543.503534,,1874200000.0,
PANW,2022,7609739603.769212,,2118500000.0,
PANW,2023,45421703740.5014,,1135300000.0,
PANW,2024,61576139118.04199,,1535200000.0,
ARM,2020,,,,
ARM,2021,,,,
ARM,2022,,,,
ARM,2023,,,,
ARM,2024,,,,
SHOP,2020,,,,
SHOP,2021,,,,
SHOP,2022,,,,
SHOP,2023,,,,
SHOP,2024,,,1498000000.0,
CRWD,2020,4419783926.222665,,,
CRWD,2021,,738029000.0,,
CRWD,2022,,2958068000.0,2455369000.0,
CRWD,2023,,1483499000.0,3375069000.0,
CRWD,2024,,1486477000.0,4323295000.0,
ANET,2020,1341432874.23043,,893219000.0,
ANET,2021,10206283333.333334,,620813000.0,
ANET,2022,9704149301.218714,,671707000.0,
ANET,2023,17733535515.58256,,1938606000.0,
ANET,2024,137461137977.36893,,2762357000.0,
KLAC,2020,38920392034.99639,6643053000.0,,
KLAC,2021,61136398250.41126,,1434610000.0,
KLAC,2022,55711571767.05496,,1584908000.0,
KLAC,2023,77961734833.8562,,1927865000.0,
KLAC,2024,87603225676.61285,,1977129000.0,
ADI,2020,48949551135.00403,,1055860000.0,
ADI,2021,74833530374.73782,,1977964000.0,
ADI,2022,82962322546.69244,516663000.0,1470572000.0,82008413546.69244
ADI,2023,94714395971.26016,12451082000.0,958061000.0,106207416971.26016
ADI,2024,106614347007.2039,12536770000.0,1991342000.0,117159775007.2039
LRCX,2020,6825699346.500942,10234082000.0,4915172000.0,12144609346.500942
LRCX,2021,9706146979.758123,9920306000.0,4418263000.0,15208189979.758125
LRCX,2022,6025491571.894327,,3522001000.0,
LRCX,2023,9996522855.725098,9927403000.0,5337056000.0,14586869855.725098
LRCX,2024,9916635617.191696,9430989000.0,5847856000.0,13499768617.191696
INTC,2020,186089073590.95984,65402000000.0,,
INTC,2021,191331941083.9989,74502000000.0,,
INTC,2022,108911227570.67,80152000000.0,,
INTC,2023,188554326485.157,91317000000.0,,
INTC,2024,88275769673.53821,99277000000.0,,
APP,2020,,,,
APP,2021,27366289140.85709,4785824000.0,1520504000.0,30631609140.85709
APP,2022,3999462627.8518686,6380246000.0,1080484000.0,9299224627.851868
APP,2023,14034135220.400335,6084318000.0,502152000.0,19616301220.400337
APP,2024,116819867209.95992,6414889000.0,741411000.0,122493345209.95992
MSTR,2020,,,59675000.0,
MSTR,2021,,2641517000.0,63356000.0,
MSTR,2022,,4533711000.0,43835000.0,
MSTR,2023,,4560668000.0,46817000.0,
MSTR,2024,,9373266000.0,38117000.0,
APH,2020,9369523627.18128,,1702000000.0,
APH,2021,24255520932.0795,,1197100000.0,
APH,2022,22788032174.555454,,1373100000.0,
APH,2023,28412936284.046173,,1475000000.0,
APH,2024,86985269141.36887,,3317000000.0,
MU,2020,77222393054.96216,1580000000.0,7624000000.0,71178393054.96216
MU,2021,95120075317.3828,425000000.0,7763000000.0,87782075317.3828
MU,2022,57328122085.38964,258000000.0,8262000000.0,49324122085.38964
MU,2023,87324769970.70312,381000000.0,8577000000.0,79128769970.70312
MU,2024,107212361769.6762,709000000.0,7041000000.0,100880361769.6762
FTNT,2020,4553872881.42613,,1061800000.0,
FTNT,2021,10770371358.326504,988400000.0,1319100000.0,10439671358.326504
FTNT,2022,40837510747.63707,1978800000.0,1682900000.0,41133410747.63707
FTNT,2023,43099378183.841705,1982700000.0,1397900000.0,43684178183.841705
FTNT,2024,74075147976.68457,1986600000.0,2875900000.0,73185847976.68457
CDNS,2020,34884702620.391846,,928432000.0,
CDNS,2021,50850729377.695724,,1088940000.0,
CDNS,2022,45079646980.3129,,882325000.0,
CDNS,2023,73484358196.5187,,1008152000.0,
CDNS,2024,83902710778.97949,,2644030000.0,
MSI,2020,27231243244.28013,10276000000.0,1254000000.0,36253243244.28013
MSI,2021,42234203886.41357,10851000000.0,1874000000.0,51211203886.41357
MSI,2022,42873663914.199104,11701000000.0,1325000000.0,53249663914.199104
MSI,2023,52276473986.8927,12032000000.0,1705000000.0,62603473986.8927
MSI,2024,79039634003.44849,12015000000.0,2102000000.0,88952634003.44849
SNPS,2020,37021089217.2056,265614000.0,1235653000.0,36051050217.2056
SNPS,2021,54661260949.82329,227993000.0,1432840000.0,53456413949.82329
SNPS,2022,50160027665.13715,120910000.0,1417608000.0,48863329665.13715
SNPS,2023,82457977716.39404,38902000.0,1438913000.0,81057966716.39404
SNPS,2024,78705223995.75806,33679000.0,3896532000.0,74842370995.75806
WDAY,2020,,,731141000.0,
WDAY,2021,,1709880000.0,1384181000.0,
WDAY,2022,,1309267000.0,1534273000.0,
WDAY,2023,,3593288000.0,1886311000.0,
WDAY,2024,,5956000000.0,2012000000.0,
ROP,2020,42797799995.05906,13737600000.0,308300000.0,56227099995.05906
ROP,2021,49013343615.14137,16184000000.0,351500000.0,64845843615.14137
ROP,2022,45188669872.75623,13085100000.0,792800000.0,57480969872.75623
ROP,2023,57101943923.9502,11793100000.0,214300000.0,68680743923.950195
ROP,2024,57857939961.54786,12410500000.0,188200000.0,70080239961.54785
DELL,2020,24903874963.12459,105577000000.0,9302000000.0,121178874963.12459
DELL,2021,39275890627.17983,100040000000.0,14201000000.0,125114890627.17984
DELL,2022,29470427411.397297,66176000000.0,9477000000.0,86169427411.3973
DELL,2023,52243123358.91724,56542000000.0,8607000000.0,100178123358.91724
DELL,2024,84567106655.31158,55582000000.0,7366000000.0,132783106655.31158
ADSK,2020,63633939973.66769,,1774700000.0,
ADSK,2021,59820648290.72498,,1772200000.0,
ADSK,2022,42351103853.280205,,1528400000.0,
ADSK,2023,50697371841.43066,,1947000000.0,
ADSK,2024,64695773567.96264,,1892000000.0,
TEAM,2020,,,,
TEAM,2021,,,,
TEAM,2022,,,,
TEAM,2023,,1961512000.0,2102550000.0,
TEAM,2024,,1948004000.0,2176930000.0,
PAYX,2020,29989251855.08728,1593200000.0,905200000.0,30677251855.08728
PAYX,2021,41460849765.995575,1594100000.0,995200000.0,42059749765.995575
PAYX,2022,39955216042.87284,1595000000.0,370000000.0,41180216042.87284
PAYX,2023,43044483835.52551,1595900000.0,1222000000.0,43418383835.52551
PAYX,2024,50563837103.1189,1596800000.0,1468900000.0,50691737103.1189
SNOW,2020,,,,
SNOW,2021,,,820177000.0,
SNOW,2022,,,1085729000.0,
SNOW,2023,,,939902000.0,
SNOW,2024,,,1762749000.0,
FICO,2020,,,,
FICO,2021,11683833442.121231,2093453000.0,195354000.0,13581932442.121231
FICO,2022,16059372441.022598,3112687000.0,133202000.0,19038857441.0226
FICO,2023,28626147054.56543,3715327000.0,136778000.0,32204696054.56543
FICO,2024,53516106315.00855,4070679000.0,150667000.0,57436118315.00855
MRVL,2020,,,,
MRVL,2021,,,,
MRVL,2022,30129316187.321617,5477981000.0,613533000.0,34993764187.32162
MRVL,2023,48162901209.0683,8392500000.0,911000000.0,55644401209.0683
MRVL,2024,95678536020.5078,7966300000.0,950800000.0,102694036020.5078
NXPI,2020,,,2275000000.0,
NXPI,2021,,,2830000000.0,
NXPI,2022,,,3845000000.0,
NXPI,2023,,1000000000.0,3862000000.0,
NXPI,2024,,22029000000.0,3292000000.0,
TEL,2020,,8111000000.0,945000000.0,
TEL,2021,,8238000000.0,1203000000.0,
TEL,2022,,8298000000.0,1088000000.0,
TEL,2023,,8417000000.0,1661000000.0,
TEL,2024,,8414000000.0,1319000000.0,
NET,2020,,,108895000.0,
NET,2021,,,313777000.0,
NET,2022,,,204178000.0,
NET,2023,,,86864000.0,
NET,2024,,,147691000.0,
FIS,2020,,33180000000.0,1959000000.0,
FIS,2021,,30776000000.0,2010000000.0,
FIS,2022,,29032000000.0,2188000000.0,
FIS,2023,,27176000000.0,440000000.0,
FIS,2024,,22656000000.0,834000000.0,
GRMN,2020,20712835491.63764,,1458442000.0,
GRMN,2021,23901419489.31031,,1498058000.0,
GRMN,2022,17009146044.02978,,1279194000.0,
GRMN,2023,23645649540.138245,,1693452000.0,
GRMN,2024,40724876420.23087,,2079468000.0,
GLW,2020,,167000000.0,,
GLW,2021,,211000000.0,,
GLW,2022,,279000000.0,,
GLW,2023,,544000000.0,,
GLW,2024,,646000000.0,1768000000.0,
CTSH,2020,40444016972.859695,1363000000.0,2680000000.0,39127016972.859695
CTSH,2021,41800945354.643326,1289000000.0,1792000000.0,41297945354.643326
CTSH,2022,28808921695.527576,1264000000.0,2191000000.0,27881921695.527576
CTSH,2023,36242524034.11865,1244000000.0,2621000000.0,34865524034.11865
CTSH,2024,39551585959.05304,1481000000.0,2231000000.0,38801585959.05304
XYZ,2020,,3525756000.0,3158058000.0,
XYZ,2021,,7146132000.0,4443669000.0,
XYZ,2022,,8669037000.0,4544202000.0,
XYZ,2023,,,4996465000.0,
XYZ,2024,,,8075247000.0,
DDOG,2020,,,224927000.0,
DDOG,2021,,,270973000.0,
DDOG,2022,,,338985000.0,
DDOG,2023,,,330339000.0,
DDOG,2024,,,1246983000.0,
ZS,2020,24247935951.320103,,141851000.0,
ZS,2021,42203220559.91691,,275898000.0,
ZS,2022,16477236630.575996,,1013210000.0,
ZS,2023,30947964571.866608,,1262206000.0,
ZS,2024,29524727156.13327,,1423080000.0,
IT,2020,,4002174000.0,712583000.0,
IT,2021,,4415119000.0,756493000.0,
IT,2022,,4910440000.0,697999000.0,
IT,2023,,4902303000.0,1318999000.0,
IT,2024,,4908611000.0,1933147000.0,
HUBS,2020,17530057597.93963,,378123000.0,
HUBS,2021,32957885471.067883,,377013000.0,
HUBS,2022,14041620541.697186,,331022000.0,
HUBS,2023,27124028742.38968,,387987000.0,
HUBS,2024,37068550803.81775,,512667000.0,
BR,2020,15860000868.51574,2858000000.0,476600000.0,18241400868.51574
BR,2021,19309224164.399647,5275200000.0,274500000.0,24309924164.399647
BR,2022,15623866610.717775,7680600000.0,224700000.0,23079766610.717773
BR,2023,22627243558.120728,6027700000.0,252300000.0,28402643558.120728
BR,2024,26917916208.953857,5589800000.0,304400000.0,32203316208.953857
ANSS,2020,,1221649000.0,912672000.0,
ANSS,2021,,1551694000.0,667667000.0,
ANSS,2022,,1507150000.0,614391000.0,
ANSS,2023,,1507465000.0,860201000.0,
ANSS,2024,,1508099000.0,,
MPWR,2020,14372352347.564695,,334944000.0,
MPWR,2021,22544778362.304688,,189265000.0,
MPWR,2022,16887906519.221716,,288607000.0,
MPWR,2023,28453818508.89587,,527843000.0,
MPWR,2024,28761295513.98163,,691816000.0,
ERIC,2020,,,,
ERIC,2021,,,,
ERIC,2022,,,,
ERIC,2023,,,,
ERIC,2024,,,,
TYL,2020,,,603623000.0,
TYL,2021,,718511000.0,309171000.0,
TYL,2022,,2268665000.0,173857000.0,
TYL,2023,,1553595000.0,165493000.0,
TYL,2024,,1194140000.0,744721000.0,
GDDY,2020,,5466900000.0,,
GDDY,2021,,6948300000.0,,
GDDY,2022,,7671100000.0,,
GDDY,2023,,7611400000.0,,
GDDY,2024,,7577600000.0,,
CHKP,2020,,,,
CHKP,2021,,,,
CHKP,2022,,,,
CHKP,2023,,,,
CHKP,2024,,,,
TTD,2020,,,437353000.0,
TTD,2021,,,754154000.0,
TTD,2022,,,1030506000.0,
TTD,2023,,,895129000.0,
TTD,2024,,,1369463000.0,
VRSN,2020,24244673549.20342,,401194000.0,
VRSN,2021,27365375906.523567,,223487000.0,
VRSN,2022,21718214887.34654,,373600000.0,
VRSN,2023,21778325822.06726,,240100000.0,
VRSN,2024,19298351290.779118,,206700000.0,
KEYS,2020,,3577000000.0,1756000000.0,
KEYS,2021,,3580000000.0,2052000000.0,
KEYS,2022,,3584000000.0,2042000000.0,
KEYS,2023,,3587000000.0,2472000000.0,
KEYS,2024,,3584000000.0,1796000000.0,
HPQ,2020,28493821745.37295,1031000000.0,4864000000.0,24660821745.37295
HPQ,2021,39552095379.23904,13709000000.0,4299000000.0,48962095379.23904
HPQ,2022,26433649648.0306,18506000000.0,3145000000.0,41794649648.0306
HPQ,2023,28137181554.41284,20498000000.0,3107000000.0,45528181554.41284
HPQ,2024,32792116801.452637,19153000000.0,3238000000.0,48707116801.45264
FTV,2020,22938808903.39443,7656500000.0,1824800000.0,28770508903.39443
FTV,2021,25605331108.45657,4637600000.0,819300000.0,29423631108.45657
FTV,2022,23105426051.548546,4058900000.0,709200000.0,26455126051.548546
FTV,2023,24992887284.622192,5897800000.0,1888800000.0,29001887284.622192
FTV,2024,26490589281.139374,6977300000.0,813300000.0,32654589281.139374
ZM,2020,,,283134000.0,
ZM,2021,,,2240303000.0,
ZM,2022,,,1062820000.0,
ZM,2023,,,1086830000.0,
ZM,2024,,,1558252000.0,
TDY,2020,14179730122.041666,1430900000.0,673100000.0,14937530122.041666
TDY,2021,17905769867.276413,4780300000.0,474700000.0,22211369867.276413
TDY,2022,19021547211.43071,7719900000.0,638100000.0,26103347211.43071
TDY,2023,19941943510.677246,6265300000.0,648300000.0,25558943510.677246
TDY,2024,22225942318.54993,5293500000.0,649800000.0,26869642318.54993
CPAY,2020,22944247574.89899,,934900000.0,
CPAY,2021,17718411620.857132,,1520027000.0,
CPAY,2022,14084826308.290754,,1435163000.0,
CPAY,2023,19444286616.91837,,1389648000.0,
CPAY,2024,25219459526.50479,,1553642000.0,
IOT,2020,,,,
IOT,2021,,,,
IOT,2022,,,,
IOT,2023,,,200670000.0,
IOT,2024,,,135536000.0,
MCHP,2020,15555187461.221872,17819600000.0,401000000.0,32973787461.22187
MCHP,2021,20920814460.998627,16454600000.0,280000000.0,37095414460.99863
MCHP,2022,38556533530.704666,15268600000.0,317400000.0,53507733530.704666
MCHP,2023,47401316370.11556,12729100000.0,234000000.0,59896416370.11556
MCHP,2024,32141012374.054104,10042100000.0,319700000.0,41863412374.05411
TOST,2020,,,,
TOST,2021,4003629999.8681912,172000000.0,809000000.0,3366629999.8681912
TOST,2022,,,547000000.0,
TOST,2023,,,605000000.0,
TOST,2024,,,903000000.0,
CDW,2020,17879205300.649006,7139500000.0,1410200000.0,23608505300.649006
CDW,2021,26033886416.371662,10612100000.0,258100000.0,36387886416.37166
CDW,2022,24169180546.024868,12622200000.0,315200000.0,36476180546.02487
CDW,2023,29230460263.97705,10898200000.0,588700000.0,39539960263.97705
CDW,2024,23541541568.069454,10638800000.0,503500000.0,33676841568.069454
SMCI,2020,154129992.24391824,5697000.0,210533000.0,-50706007.75608176
SMCI,2021,220929935.18293613,40397000.0,232266000.0,29060935.182936132
SMCI,2022,433671947.4438826,182318000.0,267397000.0,348592947.4438826
SMCI,2023,1492897787.2339249,267797000.0,440459000.0,1320235787.2339249
SMCI,2024,20439876415.006973,,1669766000.0,
HPE,2020,13443500739.07489,8180000000.0,4233000000.0,17390500739.07489
HPE,2021,17847969516.027542,7307000000.0,3996000000.0,21158969516.027542
HPE,2022,19269676035.56315,8164000000.0,4163000000.0,23270676035.56315
HPE,2023,20625977616.882324,9480000000.0,4270000000.0,25835977616.882324
HPE,2024,27759878287.781616,9610000000.0,14846000000.0,22523878287.781616
UI,2020,16826900214.767046,1093137000.0,142617000.0,17777420214.767044
UI,2021,18134752594.29704,1095467000.0,249418000.0,18980801594.29704
UI,2022,16740467936.478914,1229652000.0,136224000.0,17833895936.478912
UI,2023,7768147547.525849,1804003000.0,114826000.0,9457324547.525848
UI,2024,20668990251.667267,1711259000.0,126342000.0,22253907251.667267
SSNC,2020,17361285893.649147,13466300000.0,209300000.0,30618285893.649147
SSNC,2021,19432121210.58873,12290000000.0,564000000.0,31158121210.58873
SSNC,2022,12685012078.148975,12925400000.0,440100000.0,25170312078.148975
SSNC,2023,14495863801.116943,13692400000.0,432200000.0,27756063801.116943
SSNC,2024,18651279466.15219,13658100000.0,567100000.0,31742279466.15219
STM,2020,,,,
STM,2021,,,,
STM,2022,,,,
STM,2023,,,,
STM,2024,,,,
LDOS,2020,13875628557.840982,161000000.0,524000000.0,13512628557.840982
LDOS,2021,11885912547.52023,583000000.0,727000000.0,11741912547.52023
LDOS,2022,14325896806.626093,1475000000.0,516000000.0,15284896806.626093
LDOS,2023,14558914320.512531,1010000000.0,777000000.0,14791914320.512531
LDOS,2024,20339132559.61789,636000000.0,943000000.0,20032132559.61789
PTC,2020,13245981108.180454,,275458000.0,
PTC,2021,13868804853.83824,,326532000.0,
PTC,2022,14419605768.474398,,272182000.0,
PTC,2023,19968221302.1904,,288103000.0,
PTC,2024,23238605124.477768,,265808000.0,
OKTA,2020,,,520048000.0,
OKTA,2021,,,434607000.0,
OKTA,2022,,,260134000.0,
OKTA,2023,,,264000000.0,
OKTA,2024,,,334000000.0,
NTAP,2020,12832234195.43675,2290000000.0,2658000000.0,12464234195.43675
NTAP,2021,18164524635.31494,3778000000.0,4529000000.0,17413524635.31494
NTAP,2022,12935837770.189558,5018000000.0,4112000000.0,13841837770.18956
NTAP,2023,18748529983.520508,4775000000.0,2316000000.0,21207529983.520508
NTAP,2024,25268706484.60388,4381000000.0,1903000000.0,27746706484.60388
NTNX,2020,6067565942.118327,,318737000.0,
NTNX,2021,6724237586.802483,,285723000.0,
NTNX,2022,6533191849.591574,,402850000.0,
NTNX,2023,,,512929000.0,
NTNX,2024,,,655270000.0,
CYBR,2020,,,,
CYBR,2021,,,,
CYBR,2022,,,,
CYBR,2023,,,,
CYBR,2024,,,,
GRAB,2020,,,,
GRAB,2021,,,,
GRAB,2022,,,,
GRAB,2023,,,,
GRAB,2024,,,,
KSPI,2020,,,,
KSPI,2021,,,,
KSPI,2022,,,,
KSPI,2023,,,,
KSPI,2024,,,,
GWRE,2020,10419492141.221832,,366969000.0,
GWRE,2021,9473049113.184614,,384910000.0,
GWRE,2022,5145641862.436391,,606303000.0,
GWRE,2023,8518696449.896245,,401813000.0,
GWRE,2024,14752093175.367962,,547992000.0,
DOCU,2020,40923189612.17463,,241203000.0,
DOCU,2021,29391932305.656437,,566055000.0,
DOCU,2022,10143315428.474154,,509059000.0,
DOCU,2023,11141718679.733849,,721895000.0,
DOCU,2024,18993410765.289307,,797060000.0,
STX,2020,14246616762.807207,8409000000.0,1722000000.0,20933616762.807205
STX,2021,22874229756.63789,9050000000.0,1209000000.0,30715229756.63789
STX,2022,10681128707.38589,9956000000.0,615000000.0,20022128707.385887
STX,2023,16551855019.657543,10450000000.0,786000000.0,26215855019.657543
STX,2024,19533331311.162563,10583000000.0,1358000000.0,28758331311.162563
FFIV,2020,10431904984.318323,369047000.0,849556000.0,9951395984.318323
FFIV,2021,14182310215.59143,718819000.0,580977000.0,14320152215.59143
FFIV,2022,8850286469.889322,349772000.0,758012000.0,8442046469.889322
FFIV,2023,10457565304.299543,,797163000.0,
FFIV,2024,15021038298.573303,,1074602000.0,
GEN,2020,11173424641.018822,7426000000.0,2177000000.0,16422424641.018822
GEN,2021,13646698335.965471,6753000000.0,933000000.0,19466698335.96547
GEN,2022,12291250595.092772,6024000000.0,1887000000.0,16428250595.092773
GEN,2023,13547754016.11328,12265000000.0,750000000.0,25062754016.11328
GEN,2024,18436752036.380768,17958000000.0,846000000.0,35548752036.38077
ON,2020,12755771252.184944,5836200000.0,1080700000.0,17511271252.184944
ON,2021,27235002981.288666,5873600000.0,1352600000.0,31756002981.288666
ON,2022,28924779147.317757,5959600000.0,2919000000.0,31965379147.317757
ON,2023,34591483461.33609,5588300000.0,2483000000.0,37696783461.33609
ON,2024,28399434793.04448,5888500000.0,2691300000.0,31596634793.04448
DUOL,2020,,,,
DUOL,2021,1340049649.5920815,,553922000.0,
DUOL,2022,,,608180000.0,
DUOL,2023,,,747610000.0,
DUOL,2024,,,785791000.0,
TRMB,2020,16121586373.029438,2915600000.0,237700000.0,18799486373.029438
TRMB,2021,21586956519.93525,2584600000.0,325700000.0,23845856519.93525
TRMB,2022,13366167107.300531,,271000000.0,
TRMB,2023,12366454240.589142,3756200000.0,229800000.0,15892854240.589142
TRMB,2024,,,,
JBL,2020,6152981528.942614,4799572000.0,1393557000.0,9558996528.942614
JBL,2021,9448418061.41132,5556000000.0,1567000000.0,13437418061.41132
JBL,2022,9760841727.721443,5453000000.0,1478000000.0,13735841727.721443
JBL,2023,16524806338.60995,5450000000.0,1804000000.0,20170806338.609947
JBL,2024,17002986563.10678,5755000000.0,2201000000.0,20556986563.10678
FSLR,2020,9853314218.79478,691878000.0,1227002000.0,9318190218.79478
FSLR,2021,9955042995.57446,473696000.0,1450654000.0,8978084995.57446
FSLR,2022,16659319090.904127,420354000.0,1481269000.0,15598404090.904127
FSLR,2023,17092908187.901377,744655000.0,1946994000.0,15890569187.901375
FSLR,2024,20574450322.0034,1170084000.0,1621376000.0,20123158322.0034
PSTG,2020,,,362635000.0,
PSTG,2021,,,337147000.0,
PSTG,2022,,1542593000.0,466199000.0,
PSTG,2023,,786779000.0,580854000.0,
PSTG,2024,,100000000.0,702536000.0,
