ticker,year,revenue,net_income,total_assets,current_ratio,debt_assets,asset_turnover,roa,revenue_growth,r_and_d_ratio,capex_ratio,net_income_margin,ocf_margin
AAPL,2020,274515000000.0,57411000000.0,323888000000.0,1.3636044481554577,0.32854567010818553,0.8288446325807212,0.1733413445570981,0.055120803769784836,0.06830956414039306,0.022566442720940574,0.20913611278072236,0.2938782944465694
AAPL,2021,365817000000.0,94680000000.0,351002000000.0,1.0745531195957954,0.337924000433046,1.084078886929722,0.2805790573278608,0.33259384733074693,0.059904269074427925,0.031581016632383864,0.2588179335569424,0.284399030116151
AAPL,2022,394328000000.0,99803000000.0,352755000000.0,0.8793560286267226,0.30869867188275146,1.1206368107173357,0.28362915040276687,0.07793787604184606,0.06657148363798665,0.03035534577823135,0.2530964070519973,0.30977003915522106
AAPL,2023,383285000000.0,96995000000.0,352583000000.0,0.9880116717592975,0.2997563694222353,1.0868122800699807,0.27503126160790997,-0.028004605303199367,0.07804897139204509,0.031082043093399285,0.2530623426432028,0.28840940814276583
AAPL,2024,391035000000.0,93736000000.0,364980000000.0,0.8673125765340832,0.26246917639322703,1.0898973330564703,0.2612620773367635,0.020219940775141214,0.08022299794136074,0.025883610060825252,0.23971255769943867,0.3024128274962599
MSFT,2020,143015000000.0,44281000000.0,301311000000.0,2.5157654542940118,0.2231880017656176,0.4865556324814967,0.15064972179081323,0.13645574247276368,0.1347341187987274,0.05124605474078278,0.3096248645247002,0.42425619690242283
MSFT,2021,168088000000.0,61271000000.0,333779000000.0,2.0799936835218875,0.1788698510092007,0.5293359996221008,0.1929521800059834,0.175317274411775,0.12324496692208843,0.06178339560008269,0.36451739564989766,0.4565465708438437
MSFT,2022,198270000000.0,72738000000.0,364840000000.0,1.7846069708251824,0.16040181997587985,0.5676055188879776,0.2082336724308958,0.17956070629670173,0.12362939426035205,0.06546979497862077,0.3668633681343622,0.44905936349422504
MSFT,2023,211915000000.0,72361000000.0,411976000000.0,1.76916725076573,0.13281841660679264,0.5455989577969558,0.1863015179913905,0.06882029555656428,0.12832975485454073,0.06822484804940093,0.3414623787839464,0.4132883467427978
MSFT,2024,245122000000.0,88136000000.0,512163000000.0,1.2749549031815206,0.11360641045917022,0.5304872968243954,0.19074186891798744,0.15669962013071279,0.12038903076835208,0.08684149382130299,0.35955972944084985,0.48362856047192826
NVDA,2020,10918000000.0,2796000000.0,17315000000.0,7.673766816143497,0.14738665896621425,0.713431567941974,0.18270330316594244,-0.06811198361215431,0.2591133907309031,,0.2560908591317091,0.43606887708371495
NVDA,2021,16675000000.0,4332000000.0,28791000000.0,4.090445859872611,0.263867180716196,0.7233331887389928,0.18791480501453173,0.5272943762593881,0.2353223388305847,,0.25979010494752625,0.34914542728635684
NVDA,2022,26914000000.0,9752000000.0,44187000000.0,6.650288350634371,0.28709801525335504,0.7375921510592234,0.2672586258872537,0.6140329835082459,0.19573456193802483,0.005838821372801955,0.3623393029649996,0.3384112357880657
NVDA,2023,26974000000.0,4368000000.0,41182000000.0,3.515617857687033,0.28786848623184885,0.6319389942484976,0.10233222832644168,0.0022293230289068887,0.2720768147104619,0.009081637608663979,0.16193371394676356,0.20912730777786015
NVDA,2024,60922000000.0,29760000000.0,65728000000.0,4.171291505973097,0.16473953261927946,1.1396875876905808,0.5567299597792535,1.2585452658115222,0.14239519385443683,0.002586416747809153,0.4884934834706674,0.4610813827517153
AVGO,2020,23888000000.0,,75933000000.0,1.8670538377020875,0.5298750214004452,0.3331055736059013,,0.057131477629773865,0.20797052913596786,0.0060974806737518605,,0.504897856664434
AVGO,2021,27450000000.0,,75570000000.0,2.6406623149180066,0.5279872965462485,0.3623690619987723,,0.14911252511721365,0.17683060109289617,0.00586211459573905,,0.5014207650273224
AVGO,2022,33203000000.0,,73249000000.0,2.6239364719228586,0.005310652705156385,0.44621990471646766,,0.20958105646630237,0.14814926362075717,0.005788474927985365,,0.5040508387796283
AVGO,2023,35819000000.0,,72861000000.0,2.8152599594868333,0.0049271901291500254,0.49030182739032235,,0.07878806131976027,0.14665401044138585,0.00620359314310811,,0.5048996342723135
AVGO,2024,51574000000.0,5895000000.0,165645000000.0,1.1735641133137689,0.006900298831839174,0.4324754932789951,0.049432718673744054,0.4398503587481504,0.18051731492612558,0.003308279754897522,0.11430177996664986,0.3870554930779075
TSM,2020,,,,,,,,,,,,
TSM,2021,,,,,,,,,,,,
